Ten minute period number,Active occupant count in time period,Probability of transition to zero active occupants in next time period,Probability of transition to one active occupant in next time period,Probability of transition to two active occupants in next time period,Probability of transition to three active occupants in next time period,Probability of transition to four active occupants in next time period,Probability of transition to five active occupants in next time period,Probability of transition to six active occupants in next time period
1,0,0.994,0.006,0.000,0.000,0.000,0.000,0
1,1,0.028,0.970,0.002,0.000,0.000,0.000,0
1,2,0.000,0.056,0.944,0.000,0.000,0.000,0
1,3,0.000,0.000,0.000,1.000,0.000,0.000,0
1,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.987,0.013,0.000,0.000,0.000,0.000,0
2,1,0.151,0.842,0.007,0.000,0.000,0.000,0
2,2,0.008,0.273,0.719,0.000,0.000,0.000,0
2,3,0.000,0.000,0.167,0.833,0.000,0.000,0
2,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.989,0.011,0.000,0.000,0.000,0.000,0
3,1,0.066,0.923,0.011,0.000,0.000,0.000,0
3,2,0.021,0.094,0.875,0.010,0.000,0.000,0
3,3,0.000,0.000,0.200,0.800,0.000,0.000,0
3,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0,0.997,0.003,0.000,0.000,0.000,0.000,0
4,1,0.008,0.991,0.001,0.000,0.000,0.000,0
4,2,0.000,0.052,0.948,0.000,0.000,0.000,0
4,3,0.000,0.000,0.000,1.000,0.000,0.000,0
4,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,0,0.982,0.018,0.000,0.000,0.000,0.000,0
5,1,0.333,0.660,0.007,0.000,0.000,0.000,0
5,2,0.118,0.376,0.505,0.000,0.000,0.000,0
5,3,0.000,0.400,0.600,0.000,0.000,0.000,0
5,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,0,1.000,0.000,0.000,0.000,0.000,0.000,0
6,1,0.110,0.890,0.000,0.000,0.000,0.000,0
