Ten minute period number,Active occupant count in time period,Probability of transition to zero active occupants in next time period,Probability of transition to one active occupant in next time period,Probability of transition to two active occupants in next time period,Probability of transition to three active occupants in next time period,Probability of transition to four active occupants in next time period,Probability of transition to five active occupants in next time period,Probability of transition to six active occupants in next time period
1,0,1.000,0.000,0.000,0.000,0.000,0.000,0
1,1,0.053,0.947,0.000,0.000,0.000,0.000,0
1,2,0.002,0.108,0.890,0.000,0.000,0.000,0
1,3,0.000,0.038,0.096,0.865,0.000,0.000,0
1,4,0.000,0.000,0.000,0.167,0.833,0.000,0
1,5,0.000,0.000,0.000,0.000,0.000,0.000,0
1,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,1.000,0.000,0.000,0.000,0.000,0.000,0
2,1,0.253,0.747,0.000,0.000,0.000,0.000,0
2,2,0.058,0.348,0.594,0.000,0.000,0.000,0
2,3,0.000,0.143,0.319,0.538,0.000,0.000,0
2,4,0.000,0.000,0.600,0.000,0.400,0.000,0
2,5,0.000,0.000,0.000,0.000,0.000,0.000,0
2,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,1.000,0.000,0.000,0.000,0.000,0.000,0
3,1,0.082,0.918,0.000,0.000,0.000,0.000,0
3,2,0.006,0.199,0.795,0.000,0.000,0.000,0
3,3,0.000,0.000,0.204,0.796,0.000,0.000,0
3,4,0.000,0.000,0.000,0.000,1.000,0.000,0
3,5,0.000,0.000,0.000,0.000,0.000,0.000,0
3,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0,1.000,0.000,0.000,0.000,0.000,0.000,0
4,1,0.049,0.951,0.000,0.000,0.000,0.000,0
4,2,0.003,0.125,0.872,0.000,0.000,0.000,0
4,3,0.000,0.000,0.154,0.846,0.000,0.000,0
4,4,0.000,0.000,0.000,0.000,1.000,0.000,0
4,5,0.000,0.000,0.000,0.000,0.000,0.000,0
4,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,0,0.978,0.022,0.000,0.000,0.000,0.000,0
5,1,0.350,0.639,0.011,0.000,0.000,0.000,0
5,2,0.136,0.442,0.411,0.012,0.000,0.000,0
5,3,0.030,0.121,0.576,0.273,0.000,0.000,0
5,4,0.000,0.000,0.500,0.000,0.500,0.000,0
5,5,0.000,0.000,0.000,0.000,0.000,0.000,0
5,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,0,1.000,0.000,0.000,0.000,0.000,0.000,0
6,1,0.075,0.925,0.000,0.000,0.000,0.000,0
6,2,0.000,0.188,0.812,0.000,0.000,0.000,0
6,3,0.000,0.000,0.167,0.833,0.000,0.000,0
6,4,0.000,0.000,0.000,0.000,1.000,0.000,0
6,5,0.000,0.000,0.000,0.000,0.000,0.000,0
6,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,0,1.000,0.000,0.000,0.000,0.000,0.000,0
7,1,0.000,1.000,0.000,0.000,0.000,0.000,0
7,2,0.000,0.000,1.000,0.000,0.000,0.000,0
7,3,0.000,0.000,0.000,1.000,0.000,0.000,0
7,4,0.000,0.000,0.000,0.000,1.000,0.000,0
7,5,0.000,0.000,0.000,0.000,0.000,0.000,0
7,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,0,0.976,0.023,0.000,0.000,0.000,0.000,0
8,1,0.322,0.665,0.013,0.000,0.000,0.000,0
8,2,0.109,0.370,0.521,0.000,0.000,0.000,0
8,3,0.000,0.100,0.600,0.300,0.000,0.000,0
8,4,0.000,0.000,0.000,1.000,0.000,0.000,0
8,5,0.000,0.000,0.000,0.000,0.000,0.000,0
8,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,0,1.000,0.000,0.000,0.000,0.000,0.000,0
9,1,0.000,1.000,0.000,0.000,0.000,0.000,0
9,2,0.000,0.000,1.000,0.000,0.000,0.000,0
9,3,0.000,0.000,0.000,1.000,0.000,0.000,0
9,4,0.000,0.000,0.000,0.000,0.000,0.000,0
9,5,0.000,0.000,0.000,0.000,0.000,0.000,0
9,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10,0,1.000,0.000,0.000,0.000,0.000,0.000,0
10,1,0.000,1.000,0.000,0.000,0.000,0.000,0
10,2,0.000,0.000,1.000,0.000,0.000,0.000,0
10,3,0.000,0.000,0.000,1.000,0.000,0.000,0
10,4,0.000,0.000,0.000,0.000,0.000,0.000,0
10,5,0.000,0.000,0.000,0.000,0.000,0.000,0
